rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/the-adventures-of-sharkboy-and-lavagirl-in-3d,The Adventures of Sharkboy and Lavagirl in 3-D,"Bullied by classmates, young Max (Cayden Boyd) escapes into a fantasy, conjuring up the action-packed lives of Lavagirl (Taylor Dooley) and Sharkboy (Taylor Lautner). But one day, Lavagirl and Sharkboy suddenly come to life -- and their world, Planet Drool, needs a hero named Max. As Max escapes to Planet Drool, he battles aliens and tries to save his new friends' planet from destruction. He also battles his bullies, who have become villains like the Ice Princess (Sasha Pieterse).",The decision to turn this kiddie fantasy into a 3-D film was a miscalculation.,"Action & Adventure, Kids & Family","Robert Rodriguez, Taylor Lautner","Robert Rodriguez, Marcel Rodriguez",19.0,33.0,124.0,32211.0
m/jaffa,Jaffa,Two young Palestinian lovers secretly plan a wedding.,,"Art House & International, Drama","Keren Yedaya, Oded Binnun, Mihal Brezis","Keren Yedaya, Illa Ben Porat",50.0,61.0,6.0,217.0
m/1136907-late_night_shopping,Late Night Shopping,"Four young Brits meet nightly at an all-hours café to swap tales of sex and relationships. Sean (Luke de Woolfson) has no time for his girlfriend because of his job. Womanizer Vincent (James Lance) thrills the group with his stories. The timid Lenny (Enzo Cilenti) is in love with a co-worker. Jody (Kate Ashfield) suffers from a lack of confidence. When Vincent hooks up with, and ditches, Madeline (Heike Makatsch), her emotional reaction and subsequent disappearance send the gang scrambling.",,"Comedy, Drama",Saul Metzstein,,67.0,78.0,6.0,1245.0
m/a_midsummer_nights_dream_2014,A Midsummer Night's Dream,Three parallel stories of how far all beings will go for love.,,"Art House & International, Comedy",Julie Taymor,,100.0,67.0,6.0,109.0
m/saw_4,Saw IV,"During the autopsy of serial killer Jigsaw (Tobin Bell), a cassette tape is discovered in his stomach in which he warns that his gory games will continue. Sure enough, SWAT Lt. Daniel Rigg (Lyriq Bent) is forced to follow a blood-drenched trail of torture, dismemberment and death in order to find two missing colleagues. A pair of FBI profilers follow Riggs, suspecting he might be Jigsaw's accomplice, even as they unlock the puzzle of the killer's origins, seen in gruesome flashbacks.","Saw IV is more disturbing than compelling, with material already seen in the prior installments.","Horror, Mystery & Suspense",Darren Lynn Bousman,"Marcus Dunstan, Patrick Melton",19.0,62.0,83.0,569332.0
m/romeo_must_die,Romeo Must Die,"Two families, bound by tradition, are locked in a brutal war. Asian and African American gangs are vying for control of Oakland's waterfront. But when the first casualty is the Asian warlord's son, the gang war becomes more dangerous than either side ever imagined.","In his second Hollywood movie, Jet Li impresses. Unfortunately, when he's not on screen, the movie slows to a crawl. Though there's some spark between Jet and Aaliyah, there isn't any threat of a fire. And as impressive as the action sequences are, some critics feel they are over-edited.",Action & Adventure,Andrzej Bartkowiak,"Eric Bernt, John Jarrell",32.0,61.0,93.0,192234.0
m/you_cannot_kill_david_arquette,You Cannot Kill David Arquette,"Branded as the most hated man in wrestling after winning a highly controversial WCW World Heavyweight Championship in 2000, actor David Arquette attempts a rocky return to the sport that stalled his promising Hollywood career. Dangerously determined to redeem his reputation and reclaim his self-respect, Arquette will stop at nothing to earn his place in professional wrestling.",You Cannot Kill David Arquette -- nor can you deny the sheer watchability of this unusual and surprisingly affecting documentary.,"Documentary, Sports & Fitness","Price James, David Darg",,87.0,95.0,45.0,37.0
m/fists_of_legend_2013,Fists Of Legend,Three old friends and rivals are invited to take part in a hit TV show in which past-their-prime fighters do battle for redemption and ratings gold.,,"Action & Adventure, Drama",Woo-Suk Kang,Jang Min-seok,71.0,61.0,7.0,306.0
m/1192781-hell_ride,Hell Ride,"The Deuce (David Carradine) and Billy Wings (Vinnie Jones), leaders of an evil biker gang known as the Six-Six-Sixers, murder Cherokee Kisum (Julia Jones), a member of the Victors, over a drug money dispute. Years later, the Deuce and Wings are back in town to settle some old business, and Pistolero (Larry Bishop), Cherokee's old boyfriend, sees this as an opportunity to finally get revenge. He recruits two old friends, Gent (Michael Madsen) and Eddie Zero (Dennis Hopper), for help.","Hell Ride misses out on the rusting zeitgeist of the biker genre, sucking the glee from a saucy premise.","Action & Adventure, Drama, Mystery & Suspense",Larry Bishop,Larry Bishop,10.0,30.0,59.0,5524.0
m/model_shop,Model Shop,"With the threat of the Vietnam draft looming over his head and the realities of unemployment sinking in, 26-year-old Californian George Matthews (Gary Lockwood) becomes increasingly hopeless about his future. Failing to relate to his live-in girlfriend, Gloria (Alexandra Hay), the young man finds himself drawn to Lola (Anouk Aimée), a model whom he photographs. In a desperate bid to make a meaningful connection, George decides to take a chance on having a romantic tryst with Lola.",,Drama,Jacques Demy,Jacques Demy,83.0,44.0,6.0,250.0
m/shes_out_of_control,She's Out of Control,A Los Angeles radio-station manager's (Tony Danza) girlfriend (Catherine Hicks) shows his teenage daughter (Ami Dolenz) how to be sexy.,,Comedy,Stan Dragoti,"Seth Winston, Michael J. Nathanson",11.0,52.0,19.0,6515.0
m/saving_mr_banks_2013,Saving Mr. Banks,"Spurred on by a promise he made to his daughters, Walt Disney (Tom Hanks) embarks on what would become a 20-year quest to obtain the movie rights to ""Mary Poppins."" The author, P.L. Travers (Emma Thompson), proves to be an uncompromising curmudgeon who has no intention of letting her beloved characters become mangled in the Hollywood machine. However, when the books stop selling and she finds herself in need of money, Travers reluctantly agrees to consider Disney's proposition.","Aggressively likable and sentimental to a fault, Saving Mr. Banks pays tribute to the Disney legacy with excellent performances and sweet, high-spirited charm.","Comedy, Drama",John Lee Hancock,"Kelly Marcel, Sue Smith",79.0,84.0,260.0,111547.0
m/seventh_victim,The Seventh Victim,"After young Mary Gibson (Kim Hunter) discovers that her older sister Jacqueline (Jean Brooks) has disappeared, she leaves her boarding school and heads to New York City to track down her sibling. Arriving at Jacqueline's apartment, Mary finds ominous signs of trouble, with her sister nowhere in sight. Aided by psychiatrist Dr. Louis Judd (Tom Conway) and others, Mary gets drawn deeper into the mystery, and evidence begins to point to the involvement of a sinister cult.",,"Classics, Drama, Horror",Mark Robson,"Charles O'Neal, DeWitt Bodeen",93.0,63.0,15.0,1372.0
m/devils_chair,The Devil's Chair ,A psychiatrist (David Gant) brings a murderer (Andrew Howard) to an abandoned asylum to uncover the truth behind a girl's death.,,Horror,Adam Mason,"Simon Boyes, Adam Mason",60.0,33.0,5.0,814.0
m/world_is_not_enough,The World Is Not Enough,"Bond (Pierce Brosnan) must race to defuse an international power struggle with the world's oil supply hanging in the balance. Elektra King (Sophie Marceau), is the daughter of a murdered oil tycoon whom Bond is assigned to protect. The villain is Renard (Robert Carlyle), who has a bullet lodged in his brain rendering him unable to feel pain. Also featuring nuclear weapons expert Dr. Christmas Jones (Denise Richards).","Plagued by mediocre writing, uneven acting, and a fairly by-the-numbers plot, The World Is Not Enough is partially saved by some entertaining and truly Bond-worthy action sequences.","Action & Adventure, Mystery & Suspense",Michael Apted,"Bruce Feirstein, Robert Wade, Michael Apted, Dana Stevens, Neal Purvis",52.0,49.0,143.0,210342.0
m/illuminata,Illuminata,"Tuccio (John Turturro) is having problems staging his latest play, ""Illuminata."" In fact, the production is a melodrama in its own right. The lead actress, Rachel (Katherine Borowitz), is his lover. His cast members are ready to mutiny. And a preview of the piece didn't exactly thrill renowned theater critic Umberto Bevalaqua (Christopher Walken). So it's no wonder Tuccio finds himself susceptible to the seductions of Celimene (Susan Sarandon), a professed admirer.",,"Comedy, Drama, Romance",John Turturro,"John Turturro, Brandon Cole",40.0,67.0,25.0,1043.0
m/vehicle_19_2013,Vehicle 19,A paroled man picks up the wrong rental vehicle and quickly realizes that he is the target of an entire police force. The cops will do anything to stop the corruption testimony of a woman he discovered tied-up in the vehicle's trunk.,"It starts with an interesting premise and Paul Walker is as handsomely brooding as ever, but Vehicle 19's incoherently shot action sequences make it a poor substitute for his work in the Fast & Furious movies.",Mystery & Suspense,Mukunda Michael Dewil,Mukunda Michael Dewil,23.0,31.0,26.0,9804.0
m/wetlands_preserved_the_story_of_an_activist_rock_club_2005,Wetlands Preserved: The Story of an Activist Rock Club,"The Wetlands nightclub in New York City didn't just introduce audiences to countless jam bands. It also promoted important environmental causes. Located in Manhattan's Tribeca district, Wetlands was the brainchild of Larry Bloch, who wanted to create a socially conscious music venue. While the Dave Matthews Band, Phish, Blues Traveler and others graced its stage, the club donated large sums of its proceeds to environmental causes. Wetlands was a unique social experiment; this is its story.",,"Documentary, Musical & Performing Arts, Special Interest",Dean Budnick,,91.0,73.0,11.0,48.0
m/green_room_2016,Green Room,"Members (Anton Yelchin, Alia Shawkat) of a punk-rock band and a tough young woman (Imogen Poots) battle murderous white supremacists at a remote Oregon roadhouse.",Green Room delivers unapologetic genre thrills with uncommon intelligence and powerfully acted élan.,Horror,Jeremy Saulnier,Jeremy Saulnier,91.0,75.0,237.0,21801.0
m/trick,Trickfilme,"It's lust at first sight when Gabriel (Christian Campbell), a songwriter with Broadway ambitions, runs into Mark (John Paul Pitoc), a hot go-go dancer at a local gay club. They head to Gabriel's place to seal the deal, but are thwarted when Gabriel's roommate Rich (Brad Beyer) arrives with opposing plans for their closet-sized apartment. It's the first of many sexual obstructions in a wild night that leaves the pair physically unsatisfied, but developing an unforeseen romantic bond nevertheless.","By portraying its love story as nothing less than conventional, Trick avoids genre tropes to create a simple, effective romance.","Comedy, Drama, Romance",Jan Hryniak,,78.0,83.0,23.0,6545.0
m/catch_a_fire,Catch a Fire,"Patrick Chamusso (Derek Luke), an apolitical black South African who works at an oil refinery, becomes a freedom fighter for the ANC after a brutal run-in with a government terror squad. Patrick stages daring solo attacks against the apartheid regime, even as a policeman (Tim Robbins) worms his way into the lives of Patrick and his family.","No stranger to the political thriller, director Phillip Noyce tackles apartheid and terrorism with experienced gusto, while Derek Luke and Tim Robbins hand in nuanced performances.","Drama, Musical & Performing Arts, Mystery & Suspense",Phillip Noyce,Shawn Slovo,75.0,71.0,146.0,28967.0
m/snake_pit,The Snake Pit,"In this psychological drama, Virginia Cunningham (Olivia de Havilland) is confused upon finding herself in a mental hospital, with no memory of her arrival at the institution. Tormented by delusions and unable to even recognize her husband, Robert (Mark Stevens), she is treated by Dr. Mark Kik (Leo Genn), who is determined to get to the root of her mental illness. As her treatment progresses, flashbacks depict events in Virginia's life that may have contributed to her instability.",,"Classics, Drama, Mystery & Suspense",Anatole Litvak,"Frank Partos, Millen Brand",100.0,83.0,8.0,2656.0
